"Voltage_x"	"Voltage_y"
0	0	
0.083333	1	
0.16667	1	
0.25	1	
0.33333	1	
0.41667	1	
0.5	1	
0.58333	1	
0.66667	1	
0.75	1	
0.83333	1	
0.91667	1	
1	1	
1.0833	1	
1.1667	1	
1.25	1	
1.3333	309.4	
1.4167	371.4	
1.5	398.4	
1.5833	400.8	
1.6667	402.3	
1.75	403	
1.8333	403	
1.9167	402.7	
2	402.3	
2.0833	401.6	
2.1667	400.8	
2.25	400.1	
2.3333	399.4	
2.4167	398.7	
2.5	398	
2.5833	397.3	
2.6667	396.8	
2.75	396.2	
2.8333	395.7	
2.9167	395.2	
3	394.8	
3.0833	394.3	
3.1667	394	
3.25	393.6	
3.3333	393.3	
3.4167	393	
3.5	392.7	
3.5833	392.4	
3.6667	392.1	
3.75	391.9	
3.8333	391.7	
3.9167	391.5	
4	391.3	
4.0833	391.1	
4.1667	390.9	
4.25	390.8	
4.3333	390.6	
4.4167	390.4	
4.5	390.3	
4.5833	390.1	
4.6667	390	
4.75	389.8	
4.8333	389.7	
4.9167	389.6	
5	389.5	
5.0833	389.4	
5.1667	389.3	
5.25	389.1	
5.3333	389	
5.4167	389	
5.5	388.8	
5.5833	388.7	
5.6667	388.6	
5.75	388.6	
5.8333	388.5	
5.9167	388.4	
6	388.3	
6.0833	388.3	
6.1667	388.2	
6.25	388.2	
6.3333	388	
6.4167	388	
6.5	387.9	
6.5833	387.8	
6.6667	387.8	
6.75	387.7	
6.8333	387.7	
6.9167	387.6	
7	387.5	
7.0833	387.4	
7.1667	387.3	
7.25	387.3	
7.3333	387.3	
7.4167	387.2	
7.5	387.2	
7.5833	387.1	
7.6667	387.1	
7.75	387	
7.8333	387	
7.9167	386.9	
8	386.9	
8.0833	386.9	
8.1667	386.8	
8.25	386.8	
8.3333	386.7	
8.4167	386.7	
8.5	386.6	
8.5833	386.6	
8.6667	386.5	
8.75	386.5	
8.8333	386.4	
8.9167	386.4	
9	386.4	
9.0833	386.3	
9.1667	386.3	
9.25	386.2	
9.3333	386.2	
9.4167	386.1	
9.5	386.1	
9.5833	386.1	
9.6667	386	
9.75	386	
9.8333	386	
9.9167	385.9	
10	385.9	
10.083	385.9	
10.167	385.8	
10.25	385.8	
10.333	385.8	
10.417	385.7	
10.5	385.7	
10.583	385.7	
10.667	385.6	
10.75	385.6	
10.833	385.6	
10.917	385.5	
11	385.5	
11.083	385.5	
11.167	385.4	
11.25	385.4	
11.333	385.4	
11.417	385.4	
11.5	385.4	
11.583	385.3	
11.667	385.3	
11.75	385.3	
11.833	385.2	
11.917	385.2	
12	385.2	
12.083	385.1	
12.167	385.1	
12.25	385.1	
12.333	385.1	
12.417	385	
12.5	385	
12.583	384.9	
12.667	384.9	
12.75	384.9	
12.833	384.9	
12.917	384.8	
13	384.8	
13.083	384.8	
13.167	384.7	
13.25	384.7	
13.333	384.7	
13.417	384.7	
13.5	384.6	
13.583	384.6	
13.667	384.6	
13.75	384.6	
13.833	384.6	
13.917	384.5	
14	384.5	
14.083	384.5	
14.167	384.5	
14.25	384.4	
14.333	384.4	
14.417	384.3	
14.5	384.3	
14.583	384.3	
14.667	384.2	
14.75	384.2	
14.833	384.2	
14.917	384.2	
15	384.1	
15.083	384.1	
15.167	384	
15.25	384	
15.333	384	
15.417	384	
15.5	383.9	
15.583	383.9	
15.667	383.9	
15.75	383.8	
15.833	383.8	
15.917	383.8	
16	383.7	
16.083	383.7	
16.167	383.7	
16.25	383.6	
16.333	383.6	
16.417	383.6	
16.5	383.6	
16.583	383.5	
16.667	383.5	
16.75	383.4	
16.833	383.4	
16.917	383.4	
17	383.4	
17.083	383.3	
17.167	383.3	
17.25	383.3	
17.333	383.2	
17.417	383.1	
17.5	383.1	
17.583	383.1	
17.667	383.1	
17.75	383	
17.833	383	
17.917	383	
18	382.9	
18.083	382.9	
18.167	382.9	
18.25	382.9	
18.333	382.8	
18.417	382.8	
18.5	382.7	
18.583	382.8	
18.667	382.7	
18.75	382.7	
18.833	382.6	
18.917	382.6	
19	382.6	
19.083	382.5	
19.167	382.5	
19.25	382.5	
19.333	382.4	
19.417	382.4	
19.5	382.3	
19.583	382.3	
19.667	382.3	
19.75	382.2	
19.833	382.2	
19.917	382.2	
20	382.2	
20.083	382.1	
20.167	382.1	
20.25	382.1	
20.333	382.1	
20.417	382	
20.5	382	
20.583	382	
20.667	381.9	
20.75	381.9	
20.833	381.9	
20.917	381.9	
21	381.8	
21.083	381.8	
21.167	381.8	
21.25	381.7	
21.333	381.7	
21.417	381.7	
21.5	381.6	
21.583	381.6	
21.667	381.6	
21.75	381.6	
21.833	381.6	
21.917	381.5	
22	381.5	
22.083	381.5	
22.167	381.5	
22.25	381.4	
22.333	381.4	
22.417	381.4	
22.5	381.3	
22.583	381.3	
22.667	381.3	
22.75	381.2	
22.833	381.2	
22.917	381.2	
23	381.2	
23.083	381.2	
23.167	381.2	
23.25	381.1	
23.333	381.1	
23.417	381.1	
23.5	381	
23.583	381	
23.667	381	
23.75	381	
23.833	381	
23.917	381	
24	380.9	
24.083	380.9	
24.167	380.9	
24.25	380.9	
24.333	380.9	
24.417	380.8	
24.5	380.8	
24.583	380.8	
24.667	380.8	
24.75	380.8	
24.833	380.7	
24.917	380.7	
25	380.7	
25.083	380.7	
25.167	380.7	
25.25	380.6	
25.333	380.6	
25.417	380.6	
25.5	380.6	
25.583	380.6	
25.667	380.6	
25.75	380.6	
25.833	380.5	
25.917	380.5	
26	380.5	
26.083	380.5	
26.167	380.5	
26.25	380.4	
26.333	380.4	
26.417	380.4	
26.5	380.4	
26.583	380.4	
26.667	380.4	
26.75	380.4	
26.833	380.3	
26.917	380.3	
27	380.3	
27.083	380.3	
27.167	380.3	
27.25	380.3	
27.333	380.2	
27.417	380.2	
27.5	380.2	
27.583	380.2	
27.667	380.2	
27.75	380.2	
27.833	380.2	
27.917	380.2	
28	380.2	
28.083	380.2	
28.167	380.2	
28.25	380.1	
28.333	380.1	
28.417	380.2	
28.5	380.1	
28.583	380.1	
28.667	380.1	
28.75	380.1	
28.833	380.1	
28.917	380.1	
29	380	
29.083	380	
29.167	380	
29.25	380	
29.333	380	
29.417	380	
29.5	380	
29.583	380	
29.667	379.9	
29.75	379.9	
29.833	379.9	
29.917	379.9	
30	379.9	
30.083	379.9	
30.167	379.9	
30.25	379.9	
30.333	379.9	
30.417	379.9	
30.5	379.9	
30.583	379.8	
30.667	379.8	
30.75	379.8	
30.833	379.8	
30.917	379.8	
31	379.8	
31.083	379.8	
31.167	379.8	
31.25	379.8	
31.333	379.8	
31.417	379.8	
31.5	379.7	
31.583	379.8	
31.667	379.8	
31.75	379.8	
31.833	379.8	
31.917	379.7	
32	379.7	
32.083	379.7	
32.167	379.7	
32.25	379.7	
32.333	379.7	
32.417	379.6	
32.5	379.6	
32.583	379.6	
32.667	379.6	
32.75	379.6	
32.833	379.6	
32.917	379.6	
33	379.6	
33.083	379.6	
33.167	379.6	
33.25	379.6	
33.333	379.6	
33.417	379.6	
33.5	379.6	
33.583	379.6	
33.667	379.6	
33.75	379.6	
