"Voltage_x"	"Voltage_y"
0	0	
0.083333	1	
0.16667	1	
0.25	1	
0.33333	1	
0.41667	1	
0.5	1	
0.58333	1	
0.66667	1	
0.75	1	
0.83333	1	
0.91667	263.1	
1	343.9	
1.0833	374.9	
1.1667	395.9	
1.25	408.4	
1.3333	409.9	
1.4167	412.1	
1.5	411.3	
1.5833	411	
1.6667	410.9	
1.75	411	
1.8333	410.6	
1.9167	410.4	
2	410.1	
2.0833	409.9	
2.1667	409.7	
2.25	409.4	
2.3333	409.2	
2.4167	408.8	
2.5	408.2	
2.5833	406.7	
2.6667	407.9	
2.75	407.6	
2.8333	407.1	
2.9167	406.5	
3	406	
3.0833	405.6	
3.1667	405.1	
3.25	404.7	
3.3333	404.2	
3.4167	403.7	
3.5	403.2	
3.5833	402.7	
3.6667	402.1	
3.75	401.5	
3.8333	401	
3.9167	400.4	
4	400	
4.0833	399.4	
4.1667	398.9	
4.25	398.2	
4.3333	397.9	
4.4167	397.4	
4.5	397.2	
4.5833	396.8	
4.6667	397	
4.75	396.8	
4.8333	397.2	
4.9167	397.1	
5	397	
5.0833	396.4	
5.1667	396	
5.25	395.7	
5.3333	395.3	
5.4167	395.3	
5.5	395.6	
5.5833	395.7	
5.6667	395.6	
5.75	395.6	
5.8333	395.7	
5.9167	396.3	
6	397	
6.0833	397.1	
6.1667	397.1	
6.25	397.1	
6.3333	397.1	
6.4167	397.2	
6.5	397.1	
6.5833	397.6	
6.6667	397.6	
6.75	397.5	
6.8333	385.6	
6.9167	399.2	
7	399.9	
7.0833	399.4	
7.1667	399.6	
7.25	399.7	
7.3333	399.7	
7.4167	393.6	
7.5	394.9	
7.5833	404.1	
7.6667	404	
7.75	404.7	
7.8333	404.4	
7.9167	399.3	
8	404.6	
8.0833	375.1	
8.1667	406.3	
8.25	400.4	
8.3333	405.5	
8.4167	405.6	
8.5	402.1	
8.5833	405.5	
8.6667	404.5	
8.75	405.1	
8.8333	404.8	
8.9167	404.6	
9	404.2	
9.0833	403.8	
9.1667	402.8	
9.25	403.2	
9.3333	403.4	
9.4167	403	
9.5	402.4	
9.5833	402	
9.6667	401.3	
9.75	401.3	
9.8333	401	
9.9167	401.2	
10	401.1	
10.083	378.4	
10.167	401.3	
10.25	400.8	
10.333	399.9	
10.417	401.6	
10.5	390.9	
10.583	401.7	
10.667	402.5	
10.75	401.2	
10.833	401.4	
10.917	402.5	
11	377.5	
11.083	401.6	
11.167	401.5	
11.25	393.7	
11.333	403.5	
11.417	402.5	
11.5	402.2	
11.583	397.9	
11.667	400.8	
11.75	403.3	
11.833	403.5	
11.917	402.6	
12	401.8	
12.083	401.2	
12.167	401.1	
12.25	400.7	
12.333	400.4	
12.417	401	
12.5	401.8	
12.583	400.3	
12.667	400.3	
12.75	400.1	
12.833	400.1	
12.917	400.2	
13	401.2	
13.083	400.3	
13.167	400.1	
13.25	400	
13.333	400	
13.417	399.8	
13.5	400.4	
13.583	400.2	
13.667	399.7	
13.75	401	
13.833	398.8	
13.917	398.8	
14	398.3	
14.083	398.8	
14.167	398.9	
14.25	398.4	
14.333	399.6	
14.417	399.2	
14.5	400.1	
14.583	399.7	
14.667	399.2	
14.75	398.9	
14.833	399	
14.917	398.7	
15	398.9	
15.083	398.5	
15.167	398.3	
15.25	398.1	
15.333	397.7	
15.417	398	
15.5	397.8	
15.583	397.7	
15.667	397.6	
15.75	397.5	
15.833	397.3	
15.917	397.2	
16	370.7	
16.083	397.7	
16.167	397.6	
16.25	397.2	
16.333	396.7	
16.417	396.2	
16.5	396.3	
16.583	396	
16.667	395.7	
16.75	395.5	
16.833	395.3	
16.917	395.1	
17	395	
17.083	394.8	
17.167	394.6	
17.25	395.8	
17.333	394.7	
17.417	394.3	
17.5	394	
17.583	393.8	
17.667	393.6	
17.75	393.5	
17.833	393.4	
17.917	393.1	
18	392.9	
18.083	392.7	
18.167	392.5	
18.25	392.3	
18.333	392.2	
18.417	392	
18.5	391.8	
18.583	391.6	
18.667	391.5	
18.75	391.4	
18.833	391.1	
18.917	391	
19	390.8	
19.083	390.6	
19.167	390.4	
19.25	390.2	
19.333	390	
19.417	389.9	
19.5	389.6	
19.583	389.4	
19.667	389.2	
19.75	389	
19.833	388.8	
19.917	388.6	
20	388.3	
20.083	388.2	
20.167	387.9	
20.25	387.7	
20.333	387.5	
20.417	387.3	
20.5	387	
20.583	386.8	
20.667	386.5	
20.75	386.3	
20.833	386.1	
20.917	385.9	
21	385.5	
21.083	386.6	
21.167	386.7	
21.25	385.9	
21.333	385.4	
21.417	384.9	
21.5	384.6	
21.583	384.2	
21.667	383.9	
21.75	384.1	
21.833	384.1	
21.917	383.4	
22	382.9	
22.083	382.6	
22.167	382.2	
22.25	381.9	
22.333	381.5	
22.417	381.3	
22.5	381.1	
22.583	380.6	
22.667	380.2	
22.75	380.2	
22.833	379.6	
22.917	379.2	
23	378.7	
23.083	378.3	
23.167	377.9	
23.25	377.4	
23.333	377	
23.417	376.5	
23.5	376.1	
23.583	379.3	
23.667	376	
23.75	375.5	
23.833	374.9	
23.917	374.3	
24	374.1	
24.083	373.3	
24.167	372.9	
24.25	372.5	
24.333	372.2	
24.417	371.8	
24.5	371.3	
24.583	371	
24.667	370.7	
24.75	370.4	
24.833	370.1	
24.917	369.8	
25	369.5	
25.083	369.3	
25.167	369.1	
25.25	368.9	
25.333	368.8	
25.417	368.6	
25.5	368.4	
25.583	368.3	
25.667	368.4	
25.75	368.3	
25.833	368.3	
25.917	368.1	
26	368	
26.083	368	
26.167	368	
26.25	368	
26.333	368	
26.417	368.1	
26.5	368.2	
26.583	368.1	
26.667	368.2	
26.75	368.2	
26.833	368.2	
26.917	368.3	
27	368.4	
27.083	368.5	
27.167	368.6	
27.25	368.7	
27.333	368.8	
27.417	368.9	
27.5	369	
27.583	369.1	
27.667	369.2	
27.75	369.4	
27.833	369.4	
27.917	369.6	
28	369.7	
28.083	369.9	
28.167	370.1	
28.25	370.2	
28.333	370.5	
28.417	370.6	
28.5	370.7	
28.583	370.8	
28.667	371	
28.75	371.2	
28.833	371.3	
28.917	371.5	
29	371.6	
29.083	371.8	
29.167	371.9	
29.25	372.1	
29.333	372.3	
29.417	372.4	
29.5	372.6	
29.583	372.9	
29.667	373	
29.75	373.2	
29.833	373.4	
29.917	373.5	
30	373.7	
30.083	373.8	
30.167	374	
30.25	374.1	
30.333	374.2	
30.417	374.2	
30.5	374.3	
30.583	374.4	
30.667	374.5	
30.75	374.7	
30.833	374.8	
30.917	375	
31	375.1	
31.083	375.2	
31.167	375.3	
31.25	375.4	
31.333	375.5	
31.417	375.6	
31.5	375.5	
31.583	375.6	
31.667	375.6	
31.75	375.7	
31.833	375.7	
31.917	375.8	
32	375.8	
32.083	375.9	
32.167	375.9	
32.25	376	
32.333	376.1	
32.417	376	
32.5	376	
32.583	376	
32.667	376	
32.75	376	
32.833	376	
32.917	376	
33	376	
33.083	376.1	
33.167	376	
33.25	376	
33.333	376	
33.417	376	
33.5	376	
33.583	376	
33.667	376	
33.75	376	
33.833	376	
33.917	376	
34	375.9	
