"Voltage_x"	"Voltage_y"
0	0	
0.083333	1	
0.16667	1	
0.25	1.1	
0.33333	1.1	
0.41667	1.1	
0.5	366	
0.58333	393.8	
0.66667	397.2	
0.75	398.2	
0.83333	398.7	
0.91667	398.8	
1	398.7	
1.0833	398.3	
1.1667	398	
1.25	397.7	
1.3333	397.5	
1.4167	397.1	
1.5	396.9	
1.5833	396.6	
1.6667	396.5	
1.75	396.3	
1.8333	396.2	
1.9167	396.2	
2	396	
2.0833	395.9	
2.1667	395.7	
2.25	395.8	
2.3333	395.7	
2.4167	395.8	
2.5	395.7	
2.5833	395.7	
2.6667	395.8	
2.75	395.7	
2.8333	395.8	
2.9167	395.6	
3	395.7	
3.0833	395.6	
3.1667	395.8	
3.25	395.5	
3.3333	395.6	
3.4167	395.6	
3.5	370.5	
3.5833	395.5	
3.6667	395.9	
3.75	395.5	
3.8333	395.7	
3.9167	395.5	
4	395.8	
4.0833	384.9	
4.1667	395.7	
4.25	395.8	
4.3333	395.4	
4.4167	395.5	
4.5	395.6	
4.5833	395.5	
4.6667	395.5	
4.75	395.4	
4.8333	395.4	
4.9167	394.8	
5	395.3	
5.0833	395.3	
5.1667	395.4	
5.25	395.2	
5.3333	395.2	
5.4167	395.2	
5.5	395.3	
5.5833	395	
5.6667	395.1	
5.75	394.6	
5.8333	394.8	
5.9167	394.7	
6	394.7	
6.0833	394.9	
6.1667	394.6	
6.25	394.9	
6.3333	394.5	
6.4167	394.4	
6.5	394.6	
6.5833	394.6	
6.6667	393.8	
6.75	394.3	
6.8333	394.3	
6.9167	394.3	
7	394.1	
7.0833	394.3	
7.1667	394	
7.25	393.7	
7.3333	394	
7.4167	393.9	
7.5	393.9	
7.5833	393.6	
7.6667	393.9	
7.75	393.5	
7.8333	393.3	
7.9167	393.5	
8	393.4	
8.0833	393.4	
8.1667	393.6	
8.25	393.4	
8.3333	393.4	
8.4167	393.5	
8.5	393.3	
8.5833	393.4	
8.6667	393	
8.75	393.2	
8.8333	393.2	
8.9167	392.9	
9	393.1	
9.0833	393.2	
9.1667	393.1	
9.25	392.4	
9.3333	392.9	
9.4167	392.8	
9.5	392.8	
9.5833	392.8	
9.6667	392.6	
9.75	392.5	
9.8333	392.4	
9.9167	392.1	
10	392.5	
10.083	392.4	
10.167	392.1	
10.25	392.3	
10.333	392.3	
10.417	391.9	
10.5	391.9	
10.583	392.2	
10.667	392.1	
10.75	391.8	
10.833	392	
10.917	391.7	
11	391.2	
11.083	390.9	
11.167	390.8	
11.25	390.6	
11.333	390.6	
11.417	390.5	
11.5	390.4	
11.583	390.4	
11.667	390.4	
11.75	390.4	
11.833	390.3	
11.917	390.3	
12	390.2	
12.083	390.1	
12.167	389.9	
12.25	389.8	
12.333	389.7	
12.417	389.5	
12.5	389.4	
12.583	389.3	
12.667	389.2	
12.75	389.1	
12.833	389	
12.917	388.8	
13	388.7	
13.083	388.6	
13.167	388.5	
13.25	388.4	
13.333	388.3	
13.417	388.2	
13.5	388.1	
13.583	387.9	
13.667	387.8	
13.75	387.7	
13.833	387.6	
13.917	387.5	
14	387.4	
14.083	387.3	
14.167	387.2	
14.25	387.1	
14.333	386.9	
14.417	386.8	
14.5	386.7	
14.583	386.6	
14.667	386.5	
14.75	386.4	
14.833	386.3	
14.917	386.2	
15	386.1	
15.083	386	
15.167	385.8	
15.25	385.7	
15.333	385.6	
15.417	385.5	
15.5	385.4	
15.583	385.3	
15.667	385.2	
15.75	385.1	
15.833	385	
15.917	384.9	
16	384.8	
16.083	384.7	
16.167	384.6	
16.25	384.5	
16.333	384.4	
16.417	384.3	
16.5	384.2	
16.583	384.1	
16.667	384	
16.75	383.9	
16.833	383.8	
16.917	383.7	
17	383.6	
17.083	383.5	
17.167	383.5	
17.25	383.4	
17.333	383.3	
17.417	383.3	
17.5	383.2	
17.583	383.2	
17.667	383.1	
17.75	383	
17.833	383	
17.917	382.9	
18	382.9	
18.083	382.8	
18.167	382.8	
18.25	382.8	
18.333	382.8	
18.417	382.7	
18.5	382.7	
18.583	382.7	
18.667	382.7	
18.75	382.6	
18.833	382.7	
18.917	382.7	
19	382.6	
19.083	382.7	
19.167	382.7	
19.25	382.7	
19.333	382.7	
19.417	382.7	
19.5	382.7	
19.583	382.8	
19.667	382.8	
19.75	382.8	
19.833	382.9	
19.917	382.9	
20	382.9	
20.083	383	
20.167	383	
20.25	383.1	
20.333	383.1	
20.417	383.2	
20.5	383.2	
20.583	383.3	
20.667	383.3	
20.75	383.4	
20.833	383.4	
20.917	383.5	
21	383.5	
21.083	383.6	
21.167	383.7	
21.25	383.7	
21.333	383.8	
21.417	383.9	
21.5	383.9	
21.583	384	
21.667	384	
21.75	384.1	
21.833	384.2	
21.917	384.2	
22	384.3	
22.083	384.3	
22.167	384.4	
22.25	384.4	
22.333	384.5	
22.417	384.5	
22.5	384.6	
22.583	384.7	
22.667	384.7	
22.75	384.8	
22.833	384.9	
22.917	384.9	
23	385	
23.083	385.1	
23.167	385.1	
23.25	385.1	
23.333	385.2	
23.417	385.3	
23.5	385.3	
23.583	385.4	
23.667	385.4	
23.75	385.5	
23.833	385.5	
23.917	385.6	
24	385.6	
24.083	385.7	
24.167	385.7	
24.25	385.8	
24.333	385.9	
24.417	385.9	
24.5	386	
24.583	386	
24.667	386.1	
24.75	386.1	
24.833	386.2	
24.917	386.2	
25	386.3	
25.083	386.3	
25.167	386.4	
25.25	386.4	
25.333	386.5	
25.417	386.5	
25.5	386.6	
25.583	386.7	
25.667	386.7	
25.75	386.8	
25.833	386.8	
25.917	386.9	
26	386.9	
26.083	386.9	
26.167	387	
26.25	387	
26.333	387.1	
26.417	387.1	
26.5	387.2	
26.583	387.3	
26.667	387.3	
26.75	387.4	
26.833	387.4	
26.917	387.4	
27	387.5	
27.083	387.5	
27.167	387.6	
27.25	387.6	
27.333	387.7	
27.417	387.7	
27.5	387.7	
27.583	387.8	
27.667	387.8	
27.75	387.9	
27.833	387.9	
27.917	388	
28	388	
28.083	388	
28.167	388.1	
28.25	388.1	
28.333	388.1	
28.417	388.1	
28.5	388.1	
28.583	388.2	
28.667	388.2	
28.75	388.3	
28.833	388.3	
28.917	388.3	
29	388.3	
29.083	388.3	
29.167	388.3	
29.25	388.3	
29.333	388.3	
29.417	388.3	
29.5	388.3	
29.583	388.3	
29.667	388.3	
29.75	388.2	
29.833	388.2	
29.917	388.2	
30	388.2	
30.083	388.2	
30.167	388.1	
30.25	388.1	
30.333	388.1	
30.417	388	
30.5	388	
30.583	388	
30.667	388	
30.75	388	
30.833	387.9	
30.917	387.9	
31	387.8	
31.083	387.8	
31.167	387.8	
31.25	387.7	
31.333	387.7	
31.417	387.7	
31.5	387.6	
31.583	387.6	
31.667	387.6	
31.75	387.5	
31.833	387.5	
31.917	387.4	
32	387.4	
32.083	387.3	
32.167	387.3	
32.25	387.3	
32.333	387.2	
32.417	387.2	
32.5	387.2	
32.583	387.2	
32.667	387.1	
32.75	387.1	
32.833	387	
32.917	387	
33	387	
33.083	387	
33.167	386.9	
33.25	386.9	
33.333	386.9	
33.417	386.8	
