"Voltage_x"	"Voltage_y"
0	0	
0.083333	1	
0.16667	1	
0.25	1.1	
0.33333	1	
0.41667	1.1	
0.5	1.1	
0.58333	1.1	
0.66667	321.2	
0.75	397.1	
0.83333	405.2	
0.91667	408.4	
1	410.2	
1.0833	411.3	
1.1667	412.1	
1.25	412.5	
1.3333	412.9	
1.4167	413.2	
1.5	413.4	
1.5833	413.7	
1.6667	413.8	
1.75	414	
1.8333	414.2	
1.9167	414.4	
2	414.6	
2.0833	415.2	
2.1667	415.6	
2.25	415.7	
2.3333	416	
2.4167	415.6	
2.5	415.8	
2.5833	416	
2.6667	416	
2.75	416.2	
2.8333	416.5	
2.9167	416.8	
3	417.1	
3.0833	417.4	
3.1667	417.7	
3.25	418	
3.3333	418.2	
3.4167	418.5	
3.5	418.9	
3.5833	419.2	
3.6667	419.6	
3.75	420	
3.8333	420.2	
3.9167	420.7	
4	421	
4.0833	421.3	
4.1667	421.5	
4.25	422	
4.3333	422.2	
4.4167	422.4	
4.5	423	
4.5833	423.3	
4.6667	423.7	
4.75	424.1	
4.8333	424.3	
4.9167	424.6	
5	425.2	
5.0833	425.3	
5.1667	425.8	
5.25	426.2	
5.3333	426.6	
5.4167	426.8	
5.5	427.5	
5.5833	427.5	
5.6667	427.9	
5.75	428.4	
5.8333	428.6	
5.9167	428.7	
6	429.3	
6.0833	429.3	
6.1667	429.7	
6.25	430	
6.3333	430.2	
6.4167	430.5	
6.5	430.9	
6.5833	431.3	
6.6667	431.6	
6.75	432	
6.8333	432.3	
6.9167	432.6	
7	432.9	
7.0833	433.3	
7.1667	433.7	
7.25	434	
7.3333	434.4	
7.4167	435	
7.5	435	
7.5833	435.6	
7.6667	435.7	
7.75	436	
7.8333	436.3	
7.9167	436.7	
8	437.1	
8.0833	437.5	
8.1667	437.9	
8.25	439.3	
8.3333	439.4	
8.4167	439.5	
8.5	439.8	
8.5833	440.1	
8.6667	440.5	
8.75	441	
8.8333	441.4	
8.9167	441.9	
9	442.3	
9.0833	442.8	
9.1667	443.3	
9.25	443.8	
9.3333	444.3	
9.4167	444.8	
9.5	445.5	
9.5833	446	
9.6667	446.7	
9.75	447.3	
9.8333	447.9	
9.9167	448.5	
10	449.2	
10.083	449.8	
10.167	450.5	
10.25	451.3	
10.333	452	
10.417	452.6	
10.5	453.2	
10.583	453.9	
10.667	454.5	
10.75	455.1	
10.833	455.7	
10.917	456.4	
11	457.1	
11.083	457.6	
11.167	458.1	
11.25	458.6	
11.333	459	
11.417	459.4	
11.5	459.5	
11.583	458.7	
11.667	461	
11.75	458.8	
11.833	461.5	
11.917	470.2	
12	479.5	
12.083	483.3	
12.167	484.5	
12.25	485.7	
12.333	486.7	
12.417	487.8	
12.5	488.5	
12.583	489	
12.667	489.4	
12.75	489.5	
12.833	490.1	
12.917	490.6	
13	491	
13.083	491.2	
13.167	491.1	
13.25	491.2	
13.333	491.6	
13.417	491.7	
13.5	491.7	
13.583	491.9	
13.667	492	
13.75	492	
13.833	492.1	
13.917	492.1	
14	492.2	
14.083	492.4	
14.167	492.4	
14.25	491.8	
14.333	492.1	
14.417	492.3	
14.5	492.3	
14.583	492.6	
14.667	492.5	
14.75	492.2	
14.833	492.5	
14.917	492.7	
15	492.9	
15.083	493.1	
15.167	492.6	
15.25	492.8	
15.333	493.2	
15.417	493.4	
15.5	493.6	
15.583	493.6	
15.667	493.5	
15.75	493.7	
15.833	494.2	
15.917	494.2	
16	494	
16.083	494.3	
16.167	494.4	
16.25	494	
16.333	493.9	
16.417	493.9	
16.5	494.1	
16.583	494.5	
16.667	494.6	
16.75	494.4	
16.833	494.5	
16.917	494.6	
17	494.8	
17.083	494.9	
17.167	494.5	
17.25	494.6	
17.333	494.9	
17.417	494.9	
17.5	494.9	
17.583	494.6	
17.667	494.6	
17.75	494.7	
17.833	495.1	
17.917	494.8	
18	494.7	
18.083	494.9	
18.167	495	
18.25	495.2	
18.333	494.7	
18.417	494.6	
18.5	494.7	
18.583	495	
18.667	495.2	
18.75	495	
18.833	495.1	
18.917	495.1	
19	495.5	
19.083	494.9	
19.167	494.6	
19.25	494.8	
19.333	495	
19.417	495.1	
19.5	495.2	
19.583	495	
19.667	495	
19.75	495.3	
19.833	495.4	
19.917	494.8	
20	494.9	
20.083	495	
20.167	495.1	
20.25	495.3	
20.333	495.4	
20.417	495.1	
20.5	495.2	
20.583	495.5	
20.667	495.6	
20.75	495.5	
20.833	495.4	
20.917	495.5	
21	495.7	
21.083	495.8	
21.167	495.9	
21.25	495.6	
21.333	495.7	
21.417	495.8	
21.5	496.3	
21.583	496.4	
21.667	498.9	
21.75	502.3	
21.833	507.1	
21.917	509.8	
22	510.8	
22.083	510.9	
22.167	510.8	
22.25	510.9	
22.333	510.9	
22.417	511.1	
22.5	511.1	
22.583	511.2	
22.667	511.4	
22.75	511.5	
22.833	511.6	
22.917	511.9	
23	512.1	
23.083	512.6	
23.167	513	
23.25	513.5	
23.333	513.9	
23.417	513.8	
23.5	514	
23.583	514.4	
23.667	514.9	
23.75	515.5	
23.833	516.2	
23.917	517	
24	517.7	
24.083	518.6	
24.167	519.4	
24.25	520.1	
24.333	521	
24.417	521.7	
24.5	522.5	
24.583	524.2	
24.667	525.6	
24.75	526.8	
24.833	527.8	
24.917	528.7	
25	529.5	
25.083	530.3	
25.167	531.1	
25.25	531.7	
25.333	532.4	
25.417	533.2	
25.5	533.7	
25.583	534.3	
25.667	535	
25.75	535.6	
25.833	536.3	
25.917	536.9	
26	537.5	
26.083	538.2	
26.167	538.8	
26.25	539.4	
26.333	532.7	
26.417	519	
26.5	506	
26.583	494.9	
26.667	485.6	
26.75	477.6	
26.833	471	
26.917	465.2	
27	460	
27.083	455.5	
27.167	451.6	
27.25	448.2	
27.333	445.2	
27.417	442.6	
27.5	439.5	
27.583	436	
27.667	433.3	
27.75	431.1	
27.833	429.3	
27.917	427.8	
28	426.5	
28.083	425.5	
28.167	424.6	
28.25	423.8	
28.333	423.1	
28.417	422.6	
28.5	422.1	
28.583	421.7	
28.667	421.4	
28.75	421.1	
28.833	420.9	
28.917	420.6	
29	420.4	
29.083	420.2	
29.167	420	
29.25	419.7	
29.333	419.4	
29.417	419.2	
29.5	418.9	
29.583	418.5	
29.667	418.2	
29.75	417.8	
29.833	417.3	
29.917	416.9	
30	416.3	
30.083	415.8	
30.167	415.5	
30.25	415.3	
30.333	415	
30.417	414.7	
30.5	414.4	
30.583	414	
30.667	413.6	
30.75	413.2	
30.833	412.8	
30.917	412.4	
31	412	
31.083	411.6	
31.167	411.2	
31.25	410.8	
31.333	410.4	
31.417	410.1	
31.5	409.8	
31.583	409.5	
31.667	409.2	
31.75	409	
31.833	408.7	
31.917	408.5	
32	408.3	
32.083	408.1	
32.167	407.8	
32.25	407.6	
32.333	407.4	
32.417	407.4	
32.5	407.3	
32.583	407.2	
32.667	407.1	
32.75	406.9	
32.833	406.8	
32.917	406.6	
33	406.5	
33.083	406.3	
33.167	406.1	
33.25	406	
33.333	405.9	
33.417	405.7	
33.5	405.6	
33.583	405.5	
33.667	405.4	
